Field,RA,Dec,V180,V45,A_U<1,AU
154,63.61,16.02,0,0,0,2.24
155,77.77,16.61,0,0,0,2.41
156,110.19,16.72,0,0,1,0.5
157,94.18,16.76,0,0,0,3.94
158,298.71,17.87,0,1,0,5.69
159,163.95,18.4,0,0,1,0.16
160,284.51,18.52,0,1,0,4.73
161,325.82,18.62,0,0,1,0.61
162,269.6,19.91,0,1,1,0.7
163,225.35,19.98,0,1,1,0.26
164,206.09,20.29,0,0,1,0.14
165,254.53,20.9,0,1,1,0.44
166,239.96,21.48,0,1,1,0.35
167,148.3,22.57,0,0,1,0.19
168,339.97,23.59,0,0,1,0.49
169,191.54,25.21,0,0,1,0.13
170,311.62,25.67,0,1,0,1.57
171,355.13,26.49,0,0,1,0.53
172,41.71,27.09,0,0,0,1.02
173,134.27,27.19,0,0,1,0.23
174,10.63,27.64,0,0,1,0.35
175,176.28,27.77,0,0,1,0.14
176,85.94,27.86,0,0,0,4.33
177,102.94,28.32,0,0,1,0.79
178,26.72,28.35,0,0,1,0.5
179,56.05,28.55,0,0,0,1.88
180,118.86,28.82,0,0,1,0.31
181,70.73,29.45,0,0,0,3.79
182,216.37,29.66,0,1,1,0.12
183,280.37,31.07,1,1,1,0.73
184,159.38,31.28,0,0,1,0.15
185,295.87,31.36,1,1,0,6.19
186,326.58,32.09,0,1,1,0.87
187,263.41,32.52,1,1,1,0.29
188,231.66,33.85,1,1,1,0.15
189,247.57,34.37,1,1,1,0.15
190,202.7,35.41,0,1,1,0.08
191,343.19,36.98,0,1,1,0.77
192,145.08,37.89,0,0,1,0.1
193,310.4,38.62,1,1,0,9.09
194,92.99,39.36,0,0,0,1.73
195,187.37,39.41,0,1,1,0.11
196,0.51,39.76,0,0,1,0.6
197,18.56,39.85,0,0,1,0.42
198,39.25,39.94,0,0,1,0.6
199,170.34,40.6,0,1,1,0.12
200,128.38,41.14,0,0,1,0.25
201,110.74,41.44,0,0,1,0.48
202,57.29,41.99,0,0,0,2.57
203,75.42,42.3,0,0,0,3.79
204,274.26,43.3,1,1,1,0.33
205,218.06,43.89,1,1,1,0.1
206,292.01,45.25,1,1,1,0.94
207,327.84,45.55,1,1,0,2.94
208,256.15,46.91,1,1,1,0.15
209,236.78,47.46,1,1,1,0.12
210,156.3,48.79,0,1,1,0.08
211,200.67,50.4,1,1,1,0.09
212,28.81,50.89,0,0,0,1.26
213,346.55,50.93,1,1,0,1.72
214,309.04,51.83,1,1,0,6.21
215,93.71,52.25,0,0,1,0.99
216,7.56,53.1,0,1,0,1.66
217,178.95,53.15,0,1,1,0.11
218,137.54,53.63,0,1,1,0.18
219,49.51,54.58,0,0,0,5.38
220,115.68,54.9,0,1,1,0.39
221,71.9,55.75,0,1,0,3.87
222,274.53,56.65,1,1,1,0.3
223,221.14,58.26,1,1,1,0.09
224,248.25,60.4,1,1,1,0.14
225,328.2,60.49,1,1,0,5.82
226,160.54,62.91,0,1,1,0.13
227,297.25,62.98,1,1,0,1.01
228,194.02,64.51,1,1,1,0.11
229,27.68,64.56,0,1,0,5.3
230,355.38,65.78,1,1,0,6.29
231,95.39,65.94,0,1,1,0.74
232,130.24,67.86,0,1,1,0.4
233,60.42,68.93,0,1,0,2.9
234,269.48,71.5,1,1,1,0.37
235,225.21,72.25,1,1,1,0.17
236,319.93,74.5,1,1,0,2.4
237,170.88,76.49,1,1,1,0.3
238,19.75,78.52,1,1,0,1.9
239,99.62,79.91,1,1,1,0.52
240,257.28,85.63,1,1,1,0.83
