detector_name,detector_id,x_offset,y_offset,x_pixels,y_pixels,detector_type,physical_type,serial
R31_S21,133,-127.0,169.25,0.01,0.01,0,E2V,E2V-CCD250-213
R31_S22,134,-84.75,169.25,0.01,0.01,0,E2V,E2V-CCD250-177
R32_S00,135,-42.25,84.75,0.01,0.01,0,E2V,E2V-CCD250-293
R32_S01,136,0.0,84.75,0.01,0.01,0,E2V,E2V-CCD250-187
R32_S02,137,42.25,84.75,0.01,0.01,0,E2V,E2V-CCD250-238
R32_S10,138,-42.25,127.0,0.01,0.01,0,E2V,E2V-CCD250-245
R32_S11,139,0.0,127.0,0.01,0.01,0,E2V,E2V-CCD250-386
R32_S12,140,42.25,127.0,0.01,0.01,0,E2V,E2V-CCD250-247
R32_S20,141,-42.25,169.25,0.01,0.01,0,E2V,E2V-CCD250-261
R32_S21,142,0.0,169.25,0.01,0.01,0,E2V,E2V-CCD250-286
R32_S22,143,42.25,169.25,0.01,0.01,0,E2V,E2V-CCD250-129
R33_S00,144,84.75,84.75,0.01,0.01,0,E2V,E2V-CCD250-266
R33_S01,145,127.0,84.75,0.01,0.01,0,E2V,E2V-CCD250-268
R33_S02,146,169.25,84.75,0.01,0.01,0,E2V,E2V-CCD250-200
R33_S10,147,84.75,127.0,0.01,0.01,0,E2V,E2V-CCD250-273
R33_S11,148,127.0,127.0,0.01,0.01,0,E2V,E2V-CCD250-179
R33_S12,149,169.25,127.0,0.01,0.01,0,E2V,E2V-CCD250-263
R33_S20,150,84.75,169.25,0.01,0.01,0,E2V,E2V-CCD250-226
R33_S21,151,127.0,169.25,0.01,0.01,0,E2V,E2V-CCD250-264
R33_S22,152,169.25,169.25,0.01,0.01,0,E2V,E2V-CCD250-137
R34_S00,153,211.75,84.75,0.01,0.01,0,E2V,E2V-CCD250-140
R34_S01,154,254.0,84.75,0.01,0.01,0,E2V,E2V-CCD250-314
R34_S02,155,296.25,84.75,0.01,0.01,0,E2V,E2V-CCD250-302
R34_S10,156,211.75,127.0,0.01,0.01,0,E2V,E2V-CCD250-298
R34_S11,157,254.0,127.0,0.01,0.01,0,E2V,E2V-CCD250-305
R34_S12,158,296.25,127.0,0.01,0.01,0,E2V,E2V-CCD250-318
R34_S20,159,211.75,169.25,0.01,0.01,0,E2V,E2V-CCD250-304
R34_S21,160,254.0,169.25,0.01,0.01,0,E2V,E2V-CCD250-301
R34_S22,161,296.25,169.25,0.01,0.01,0,E2V,E2V-CCD250-311
R41_S00,162,-169.25,211.75,0.01,0.01,0,ITL,ITL-3800C-478
R41_S01,163,-127.0,211.75,0.01,0.01,0,ITL,ITL-3800C-502
R41_S02,164,-84.75,211.75,0.01,0.01,0,ITL,ITL-3800C-355
R41_S10,165,-169.25,254.0,0.01,0.01,0,ITL,ITL-3800C-508
R41_S11,166,-127.0,254.0,0.01,0.01,0,ITL,ITL-3800C-470
R41_S12,167,-84.75,254.0,0.01,0.01,0,ITL,ITL-3800C-358
R41_S20,168,-169.25,296.25,0.01,0.01,0,ITL,ITL-3800C-443
R41_S21,169,-127.0,296.25,0.01,0.01,0,ITL,ITL-3800C-161
R41_S22,170,-84.75,296.25,0.01,0.01,0,ITL,ITL-3800C-317
R42_S00,171,-42.25,211.75,0.01,0.01,0,ITL,ITL-3800C-138
R42_S01,172,0.0,211.75,0.01,0.01,0,ITL,ITL-3800C-140
R42_S02,173,42.25,211.75,0.01,0.01,0,ITL,ITL-3800C-480
R42_S10,174,-42.25,254.0,0.01,0.01,0,ITL,ITL-3800C-019
R42_S11,175,0.0,254.0,0.01,0.01,0,ITL,ITL-3800C-110
R42_S12,176,42.25,254.0,0.01,0.01,0,ITL,ITL-3800C-014
R42_S20,177,-42.25,296.25,0.01,0.01,0,ITL,ITL-3800C-509
R42_S21,178,0.0,296.25,0.01,0.01,0,ITL,ITL-3800C-510
R42_S22,179,42.25,296.25,0.01,0.01,0,ITL,ITL-3800C-486
R43_S00,180,84.75,211.75,0.01,0.01,0,ITL,ITL-3800C-080
R43_S01,181,127.0,211.75,0.01,0.01,0,ITL,ITL-3800C-506
R43_S02,182,169.25,211.75,0.01,0.01,0,ITL,ITL-3800C-450
R43_S10,183,84.75,254.0,0.01,0.01,0,ITL,ITL-3800C-396
R43_S11,184,127.0,254.0,0.01,0.01,0,ITL,ITL-3800C-203
R43_S12,185,169.25,254.0,0.01,0.01,0,ITL,ITL-3800C-476
R43_S20,186,84.75,296.25,0.01,0.01,0,ITL,ITL-3800C-166
R43_S21,187,127.0,296.25,0.01,0.01,0,ITL,ITL-3800C-313
R43_S22,188,169.25,296.25,0.01,0.01,0,ITL,ITL-3800C-076
